245,510,378,510,378,560,245,560
2066,982,2242,982,2242,1039,2066,1039
1518,1052,1890,1052,1890,1121,1518,1121
2066,1140,2242,1140,2242,1197,2066,1197
1896,1341,1997,1341,1997,1480,1896,1480
623,1404,1083,1404,1083,1474,623,1474
1593,1423,1827,1423,1827,1486,1593,1486
182,1575,982,1575,982,1650,182,1650
1927,1706,1961,1707,1954,2148,1920,2148
2116,1701,2186,1701,2186,2249,2116,2249
176,1669,932,1669,932,1745,176,1745
176,1761,1071,1773,1070,1850,175,1838
176,1861,763,1871,762,1938,175,1928
170,1953,1185,1972,1184,2045,168,2025
164,2056,983,2067,982,2140,163,2130
163,2153,700,2161,699,2237,162,2228
2356,2501,2677,2501,2677,2557,2356,2557
699,2571,1689,2582,1688,2654,698,2643
138,2992,333,2992,333,3061,138,3061
510,3005,819,3005,819,3068,510,3068
1253,3024,1348,3024,1348,3080,1253,3080
1556,3023,2489,3038,2488,3108,1555,3093
1190,3118,1669,3118,1669,3187,1190,3187
270,3187,504,3187,504,3250,270,3250
2085,3231,2608,3231,2608,3301,2085,3301
333,3263,434,3263,434,3320,333,3320
2085,3304,2495,3313,2494,3379,2083,3369
290,3336,656,3346,654,3410,288,3400
315,3420,453,3420,453,3477,315,3477
