2677,485,3017,485,3017,611,2677,611
2331,604,2494,604,2494,693,2331,693
2683,617,3017,617,3017,667,2683,667
2671,674,3017,674,3017,724,2671,724
2520,737,2620,737,2620,774,2520,774
2639,812,3017,812,3017,919,2639,919
2639,923,3018,929,3017,976,2638,970
2633,970,3005,980,3004,1029,2632,1018
2614,1108,3017,1108,3017,1159,2614,1159
2633,1215,2847,1215,2847,1260,2633,1260
2696,1266,2954,1266,2954,1310,2696,1310
2759,1486,2916,1486,2916,1518,2759,1518
2696,1530,2910,1530,2910,1556,2696,1556
2860,1890,2954,1890,2954,1921,2860,1921
817,1965,1555,1951,1557,2041,819,2056
819,2026,1676,2037,1675,2128,818,2117
56,2173,270,2173,270,2205,56,2205
2173,3710,2299,3710,2299,3754,2173,3754
2438,3702,2560,3711,2556,3760,2435,3751
371,3912,737,3912,737,4025,371,4025
2110,3937,2337,3937,2337,3994,2110,3994
2507,3969,2595,3969,2595,4013,2507,4013
