976,1121,1152,1121,1152,1171,976,1171
1535,1115,1914,1105,1916,1177,1537,1186
1921,1398,2041,1398,2041,1908,1921,1908
2135,1398,2249,1398,2249,2324,2135,2324
630,1474,1108,1474,1108,1549,630,1549
1587,1480,1858,1480,1858,1549,1587,1549
170,1650,894,1650,894,1713,170,1713
170,1743,920,1752,919,1823,169,1814
163,1844,1021,1852,1020,1929,163,1921
157,1946,661,1946,661,2016,157,2016
157,2047,1045,2047,1045,2123,157,2123
157,2148,869,2148,869,2217,157,2217
151,2255,875,2255,875,2331,151,2331
2438,2564,2765,2564,2765,2627,2438,2627
711,2671,1745,2671,1745,2746,711,2746
1612,3219,2482,3219,2482,3294,1612,3294
504,3225,882,3225,882,3288,504,3288
1297,3225,1404,3225,1404,3288,1297,3288
1233,3331,1744,3323,1745,3395,1235,3404
1209,3584,1625,3584,1625,3672,1209,3672
