989,138,1707,138,1707,289,989,289
1089,463,1436,456,1437,509,1090,517
1404,1039,1644,1039,1644,1102,1404,1102
1990,1127,2129,1127,2129,1178,1990,1178
497,1423,976,1423,976,1499,497,1499
2047,1701,2110,1701,2110,2268,2047,2268
94,1600,1089,1600,1089,1675,94,1675
88,1701,1071,1701,1071,1770,88,1770
88,1801,636,1801,636,1871,88,1871
88,1902,630,1902,630,1971,88,1971
88,2003,970,2003,970,2072,88,2072
92,2104,390,2096,392,2171,94,2178
648,2104,793,2104,793,2160,648,2160
92,2206,522,2189,524,2256,95,2272
636,2595,1626,2608,1625,2679,635,2666
434,3042,737,3042,737,3099,434,3099
1449,3061,2110,3061,2110,3124,1449,3124
1109,3152,1594,3162,1593,3227,1107,3217
