1064,573,1486,573,1486,693,1064,693
189,818,1644,818,1644,881,189,881
1524,1020,1612,1020,1612,1071,1524,1071
1518,1083,1612,1083,1612,1140,1518,1140
340,1203,617,1203,617,1266,340,1266
869,1392,1052,1392,1052,1449,869,1449
1397,1398,1744,1389,1746,1454,1399,1464
1902,1474,2072,1474,2072,1530,1902,1530
1751,1663,1845,1663,1845,1789,1751,1789
1946,1669,2041,1669,2041,2494,1946,2494
567,1732,1008,1732,1008,1795,567,1795
1449,1738,1694,1738,1694,1801,1449,1801
170,1896,667,1896,667,1959,170,1959
163,1984,875,1984,875,2053,163,2053
170,2079,718,2079,718,2142,170,2142
170,2167,900,2167,900,2236,170,2236
170,2261,730,2261,730,2324,170,2324
163,2349,907,2349,907,2412,163,2412
170,2444,900,2444,900,2507,170,2507
2192,2721,2475,2721,2475,2772,2192,2772
680,2816,1574,2816,1574,2879,680,2879
504,3282,825,3282,825,3339,504,3339
1461,3288,2311,3279,2312,3341,1461,3351
1197,3294,1285,3294,1285,3345,1197,3345
1140,3376,1568,3376,1568,3433,1140,3433
1990,3452,2463,3452,2463,3515,1990,3515
308,3465,504,3465,504,3509,308,3509
1990,3521,2362,3521,2362,3584,1990,3584
352,3528,441,3528,441,3584,352,3584
321,3609,485,3609,485,3647,321,3647
