1064,132,1455,132,1455,252,1064,252
113,415,478,415,478,491,113,491
239,516,497,516,497,567,239,567
1455,970,1833,970,1833,1039,1455,1039
2016,1052,2198,1052,2198,1115,2016,1115
541,1348,1020,1348,1020,1417,541,1417
1512,1348,1776,1348,1776,1417,1512,1417
2079,1524,2154,1524,2154,2179,2079,2179
100,1524,1058,1524,1058,1612,100,1612
94,1625,881,1625,881,1719,94,1719
93,1730,1026,1722,1027,1807,94,1815
94,1827,705,1827,705,1902,94,1902
94,1927,1146,1927,1146,2016,94,2016
94,2028,938,2028,938,2104,94,2104
100,2129,648,2129,648,2205,100,2205
2337,2425,2658,2425,2658,2482,2337,2482
660,2538,1662,2526,1663,2600,661,2612
1542,2975,2482,2965,2482,3035,1543,3044
478,2979,793,2979,793,3042,478,3042
2097,3156,2482,3156,2482,3225,2097,3225
245,3168,485,3168,485,3231,245,3231
2249,3238,2475,3238,2475,3301,2249,3301
315,3244,415,3244,415,3307,315,3307
264,3326,466,3326,466,3389,264,3389
289,3402,441,3402,441,3465,289,3465
252,3477,478,3477,478,3540,252,3540
252,3559,478,3559,478,3616,252,3616
