913,987,2099,987,2099,1070,913,1070
424,1431,610,1443,605,1521,419,1509
1859,1718,2274,1718,2274,1792,1859,1792
838,2174,1286,2174,1286,2257,838,2257
864,2389,1446,2405,1443,2499,861,2483
2631,2440,2722,2440,2722,3278,2631,3278
158,2522,1155,2541,1153,2616,156,2598
149,2656,630,2656,630,2722,149,2722
141,2769,1362,2782,1360,2874,140,2861
132,2896,506,2896,506,2979,132,2979
132,3029,506,3029,506,3104,132,3104
913,3046,1452,3046,1452,3129,913,3129
124,3151,1196,3175,1194,3264,122,3240
905,3690,2101,3712,2099,3804,903,3782
514,4291,929,4291,929,4382,514,4382
1867,4324,2664,4324,2664,4415,1867,4415
1419,4441,2052,4460,2049,4553,1417,4534
