1550,2203,1908,2192,1910,2249,1552,2260
722,2564,1120,2564,1120,2622,722,2622
232,2722,1236,2722,1236,2797,232,2797
232,2822,1336,2822,1336,2896,232,2896
224,2921,838,2921,838,2996,224,2996
215,3029,780,3029,780,3095,215,3095
215,3120,1120,3120,1120,3195,215,3195
207,3228,937,3228,937,3303,207,3303
207,3328,830,3328,830,3403,207,3403
2440,3643,2772,3643,2772,3701,2440,3701
747,3743,1784,3743,1784,3818,747,3818
1327,4237,2630,4225,2631,4307,1328,4319
539,4249,863,4249,863,4316,539,4316
1245,4349,1767,4349,1767,4432,1245,4432
2216,4448,2797,4448,2797,4531,2216,4531
315,4473,556,4473,556,4531,315,4531
2216,4540,2680,4540,2680,4614,2216,4614
1253,4631,1668,4631,1668,4714,1253,4714
