435,18,493,-1,500,17,442,37
455,41,511,25,516,43,461,59
125,226,186,208,190,224,129,241
106,273,251,225,257,245,113,293
-1,306,198,239,223,314,22,380
29,398,292,307,300,331,38,423
21,374,204,309,214,337,31,402
42,447,309,354,319,383,52,476
34,420,246,348,255,375,43,447
241,536,525,440,536,472,252,568
127,772,344,685,358,721,142,808
200,827,322,778,346,839,225,887
195,912,314,857,340,912,221,967
304,906,349,906,349,958,304,958
275,917,302,914,306,958,279,961
247,931,282,931,282,958,247,958
