1085,59,1779,86,1770,317,1076,289
93,367,1826,348,1827,448,94,467
157,453,459,453,459,535,157,535
1953,711,2097,711,2097,774,1953,774
1877,787,2110,787,2110,856,1877,856
1020,1071,1247,1071,1247,1253,1020,1253
1398,1071,1801,1071,1801,1159,1398,1159
1921,1146,2142,1146,2142,1228,1921,1228
244,941,1877,1297,1788,1706,154,1351
434,1455,932,1455,932,1549,434,1549
125,1639,1102,1630,1103,1720,126,1729
126,1732,762,1732,762,1827,126,1827
126,1827,705,1827,705,1915,126,1915
118,1921,705,1913,706,1997,120,2005
126,2009,963,2009,963,2091,126,2091
126,2104,774,2104,774,2186,126,2186
126,2186,945,2186,945,2274,126,2274
2255,2551,2671,2551,2671,2633,2255,2633
579,2665,1625,2655,1625,2741,579,2750
1316,3131,2324,3123,2325,3212,1316,3220
138,3137,636,3137,636,3225,138,3225
1247,3231,1751,3231,1751,3313,1247,3313
233,3358,546,3302,569,3426,256,3483
