1081,164,1737,151,1741,310,1085,323
124,452,1631,416,1633,500,126,537
287,857,610,844,613,925,290,938
2034,945,2135,945,2135,1001,2034,1001
1460,1027,1864,1017,1866,1106,1462,1116
2041,1102,2242,1102,2242,1178,2041,1178
635,1248,1681,1239,1682,1323,636,1332
2079,1304,2217,1304,2217,2274,2079,2274
1855,1314,1985,1306,2006,1647,1877,1655
1530,1411,1801,1411,1801,1474,1530,1474
546,1420,1045,1410,1047,1502,548,1513
352,1606,825,1606,825,1682,352,1682
94,1707,856,1707,856,1795,94,1795
94,1808,1140,1808,1140,1902,94,1902
94,1915,667,1915,667,2003,94,2003
99,2022,1177,2000,1179,2092,101,2114
99,2122,944,2108,946,2200,101,2214
99,2228,850,2212,851,2304,101,2320
2406,2501,2727,2501,2727,2564,2406,2564
673,2636,1707,2621,1708,2707,674,2722
1265,3173,2450,3155,2451,3242,1266,3260
151,3181,863,3181,863,3263,151,3263
1203,3282,1719,3282,1719,3376,1203,3376
2217,3357,2639,3357,2639,3546,2217,3546
226,3395,491,3395,491,3471,226,3471
302,3477,403,3477,403,3546,302,3546
1178,3540,1606,3540,1606,3647,1178,3647
245,3565,453,3565,453,3635,245,3635
264,3660,422,3660,422,3729,264,3729
239,3742,447,3742,447,3811,239,3811
