207,378,1392,378,1392,447,207,447
352,774,661,774,661,837,352,837
2060,894,2205,894,2205,951,2060,951
1512,963,1896,963,1896,1045,1512,1045
2066,1045,2268,1045,2268,1121,2066,1121
459,1159,1726,1159,1726,1247,459,1247
2110,1253,2236,1253,2236,2186,2110,2186
1902,1253,2022,1253,2022,1486,1902,1486
598,1323,1089,1323,1089,1411,598,1411
1568,1329,1845,1329,1845,1404,1568,1404
144,1512,812,1512,812,1581,144,1581
144,1606,1253,1606,1253,1688,144,1688
132,1701,919,1701,919,1890,132,1890
138,1915,938,1915,938,1997,138,1997
138,2009,1007,2009,1007,2097,138,2097
143,2117,1032,2104,1034,2192,145,2205
2406,2412,2727,2412,2727,2475,2406,2475
711,2520,1719,2520,1719,2608,711,2608
1605,3056,2557,3048,2558,3137,1606,3145
1285,3061,1398,3061,1398,3137,1285,3137
504,3068,875,3068,875,3150,504,3150
1228,3162,1738,3162,1738,3250,1228,3250
2205,3250,2753,3250,2753,3339,2205,3339
302,3276,510,3276,510,3345,302,3345
2211,3339,2646,3339,2646,3427,2211,3427
327,3357,428,3357,428,3427,327,3427
1196,3427,1612,3427,1612,3521,1196,3521
264,3446,478,3446,478,3515,264,3515
283,3534,447,3534,447,3603,283,3603
252,3616,478,3616,478,3685,252,3685
233,3717,485,3717,485,3798,233,3798
